Sorted_X, Sorted_Y, Unsorted_X, Unsorted_Y
-94,-75,106,-30
-94,75,110,-30
94,75,114,-30
10,120,118,-30
-10,120,122,-30
-10,-120,126,-30
10,-120,130,-30
-14,-120,134,-30
-14,120,138,-30
14,120,142,-30
14,-120,146,-30
-18,-120,-142,-45
18,120,-138,-45
-18,120,-134,-45
18,-120,-130,-45
118,30,-126,-45
-118,30,-122,-45
-118,-30,-118,-45
82,-90,-114,-45
82,90,-110,-45
118,-30,-106,-45
-82,90,-102,-45
-82,-90,-98,-45
106,60,-94,-45
106,-60,-90,-45
-106,-60,-86,-45
-106,60,-82,-45
-62,105,-78,-45
62,-105,-74,-45
62,105,-70,-45
-62,-105,-66,-45
-22,120,-62,-45
-22,-120,-58,-45
-122,0,-54,-45
122,0,-50,-45
22,120,-46,-45
22,-120,-42,-45
-114,45,-38,-45
114,45,-34,-45
-114,-45,-30,-45
114,-45,-26,-45
-26,120,-22,-45
-26,-120,-18,-45
26,120,-14,-45
26,-120,-10,-45
-122,-15,-6,-45
122,15,-2,-45
-122,15,2,-45
122,-15,6,-45
98,75,10,-45
-98,75,14,-45
98,-75,18,-45
-98,-75,22,-45
30,120,26,-45
-30,120,30,-45
-30,-120,34,-45
30,-120,38,-45
-66,105,42,-45
66,105,46,-45
-66,-105,50,-45
66,-105,54,-45
86,-90,58,-45
-86,90,62,-45
86,90,66,-45
-86,-90,70,-45
34,-120,74,-45
34,120,78,-45
-34,120,82,-45
-34,-120,86,-45
-110,60,90,-45
-110,-60,94,-45
110,-60,98,-45
110,60,102,-45
122,-30,106,-45
-122,-30,110,-45
122,30,114,-45
-122,30,118,-45
-38,-120,122,-45
-38,120,126,-45
38,120,130,-45
38,-120,134,-45
126,0,138,-45
-126,0,142,-45
-70,-105,-134,-60
70,-105,-130,-60
-70,105,-126,-60
70,105,-122,-60
118,45,-118,-60
118,-45,-114,-60
-118,45,-110,-60
-118,-45,-106,-60
-102,75,-102,-60
102,75,-98,-60
-102,-75,-94,-60
102,-75,-90,-60
-126,-15,-86,-60
126,-15,-82,-60
-126,15,-78,-60
126,15,-74,-60
-42,120,-70,-60
-42,-120,-66,-60
42,120,-62,-60
42,-120,-58,-60
-90,-90,-54,-60
-90,90,-50,-60
90,90,-46,-60
90,-90,-42,-60
74,-105,-38,-60
-74,-105,-34,-60
-74,105,-30,-60
74,105,-26,-60
-46,-120,-22,-60
-46,120,-18,-60
46,120,-14,-60
46,-120,-10,-60
-114,-60,-6,-60
-114,60,-2,-60
114,-60,2,-60
114,60,6,-60
-126,30,10,-60
-126,-30,14,-60
126,-30,18,-60
126,30,22,-60
-106,75,26,-60
-106,-75,30,-60
106,-75,34,-60
106,75,38,-60
50,120,42,-60
-50,-120,46,-60
50,-120,50,-60
-50,120,54,-60
-130,0,58,-60
130,0,62,-60
-122,45,66,-60
-122,-45,70,-60
122,-45,74,-60
122,45,78,-60
94,-90,82,-60
94,90,86,-60
-94,90,90,-60
-94,-90,94,-60
-78,-105,98,-60
78,-105,102,-60
-78,105,106,-60
78,105,110,-60
130,-15,114,-60
-130,15,118,-60
-130,-15,122,-60
130,15,126,-60
-54,-120,130,-60
54,120,134,-60
-54,120,-126,-75
54,-120,-122,-75
-118,60,-118,-75
118,-60,-114,-75
-118,-60,-110,-75
118,60,-106,-75
98,-90,-102,-75
98,90,-98,-75
-98,-90,-94,-75
-98,90,-90,-75
-110,75,-86,-75
110,-75,-82,-75
-110,-75,-78,-75
110,75,-74,-75
-82,-105,-70,-75
-82,105,-66,-75
82,105,-62,-75
82,-105,-58,-75
58,120,-54,-75
-58,-120,-50,-75
-58,120,-46,-75
58,-120,-42,-75
-130,-30,-38,-75
130,-30,-34,-75
130,30,-30,-75
-130,30,-26,-75
126,45,-22,-75
-126,-45,-18,-75
-126,45,-14,-75
126,-45,-10,-75
-134,0,-6,-75
134,0,-2,-75
134,15,2,-75
-134,-15,6,-75
-134,15,10,-75
134,-15,14,-75
-2,135,18,-75
2,-135,22,-75
2,135,26,-75
-2,-135,30,-75
-62,-120,34,-75
-62,120,38,-75
62,120,42,-75
62,-120,46,-75
-6,-135,50,-75
6,-135,54,-75
6,135,58,-75
-6,135,62,-75
10,135,66,-75
-10,135,70,-75
10,-135,74,-75
-10,-135,78,-75
14,135,82,-75
86,-105,86,-75
-86,-105,90,-75
14,-135,94,-75
-14,-135,98,-75
-14,135,102,-75
-86,105,106,-75
86,105,110,-75
-122,-60,114,-75
-122,60,118,-75
122,-60,122,-75
122,60,126,-75
102,-90,-118,-90
-102,-90,-114,-90
-102,90,-110,-90
102,90,-106,-90
18,-135,-102,-90
18,135,-98,-90
-18,-135,-94,-90
-18,135,-90,-90
-114,-75,-86,-90
114,-75,-82,-90
-114,75,-78,-90
114,75,-74,-90
-22,135,-70,-90
22,135,-66,-90
22,-135,-62,-90
-22,-135,-58,-90
66,120,-54,-90
-66,-120,-50,-90
-66,120,-46,-90
66,-120,-42,-90
134,30,-38,-90
-134,30,-34,-90
-134,-30,-30,-90
134,-30,-26,-90
-26,135,-22,-90
26,135,-18,-90
26,-135,-14,-90
-26,-135,-10,-90
-130,45,-6,-90
130,45,-2,-90
130,-45,2,-90
-130,-45,6,-90
-138,0,10,-90
138,0,14,-90
-30,135,18,-90
90,105,22,-90
30,135,26,-90
-90,-105,30,-90
-30,-135,34,-90
-90,105,38,-90
90,-105,42,-90
30,-135,46,-90
138,15,50,-90
-138,-15,54,-90
138,-15,58,-90
-138,15,62,-90
-70,120,66,-90
70,-120,70,-90
70,120,74,-90
-70,-120,78,-90
-106,-90,82,-90
106,-90,86,-90
106,90,90,-90
-106,90,94,-90
-34,135,98,-90
34,135,102,-90
-34,-135,106,-90
34,-135,110,-90
126,-60,114,-90
-126,60,118,-90
-126,-60,-106,-105
126,60,-102,-105
118,75,-98,-105
-118,75,-94,-105
-118,-75,-90,-105
118,-75,-86,-105
38,135,-82,-105
-38,-135,-78,-105
-38,135,-74,-105
38,-135,-70,-105
94,105,-66,-105
94,-105,-62,-105
-94,105,-58,-105
-94,-105,-54,-105
74,-120,-50,-105
-74,120,-46,-105
74,120,-42,-105
-74,-120,-38,-105
138,-30,-34,-105
-138,30,-30,-105
-138,-30,-26,-105
138,30,-22,-105
-134,-45,-18,-105
134,45,-14,-105
-134,45,-10,-105
134,-45,-6,-105
-42,135,-2,-105
-42,-135,2,-105
42,135,6,-105
42,-135,10,-105
142,0,14,-105
-142,0,18,-105
110,90,22,-105
-110,90,26,-105
110,-90,30,-105
-110,-90,34,-105
46,135,38,-105
-46,-135,42,-105
-46,135,46,-105
46,-135,50,-105
142,-15,54,-105
-142,15,58,-105
-142,-15,62,-105
142,15,66,-105
78,120,70,-105
-78,-120,74,-105
78,-120,78,-105
-78,120,82,-105
130,-60,86,-105
-130,-60,90,-105
130,60,94,-105
-130,60,98,-105
122,75,102,-105
-122,75,106,-105
122,-75,-86,-120
-122,-75,-82,-120
98,-105,-78,-120
-98,-105,-74,-120
-98,105,-70,-120
98,105,-66,-120
-50,-135,-62,-120
-50,135,-58,-120
50,135,-54,-120
50,-135,-50,-120
-142,-30,-46,-120
142,-30,-42,-120
-142,30,-38,-120
142,30,-34,-120
-138,-45,-30,-120
-138,45,-26,-120
138,45,-22,-120
138,-45,-18,-120
-114,90,-14,-120
114,90,-10,-120
114,-90,-6,-120
-114,-90,-2,-120
82,120,2,-120
-82,120,6,-120
82,-120,10,-120
-82,-120,14,-120
-54,-135,18,-120
-54,135,22,-120
54,135,26,-120
54,-135,30,-120
-146,0,34,-120
146,0,38,-120
102,105,42,-120
-102,-105,46,-120
102,-105,50,-120
-102,105,54,-120
-126,-75,58,-120
126,-75,62,-120
126,75,66,-120
-126,75,70,-120
146,-15,74,-120
-146,15,78,-120
146,15,82,-120
-146,-15,86,-120
-134,-60,-62,-135
-134,60,-58,-135
134,-60,-54,-135
134,60,-50,-135
58,135,-46,-135
-58,-135,-42,-135
-58,135,-38,-135
58,-135,-34,-135
-86,-120,-30,-135
-86,120,-26,-135
86,-120,-22,-135
86,120,-18,-135
-118,90,-14,-135
118,90,-10,-135
-118,-90,-6,-135
118,-90,-2,-135
-62,-135,2,-135
62,135,6,-135
-62,135,10,-135
62,-135,14,-135
-142,45,18,-135
142,45,22,-135
142,-45,26,-135
-142,-45,30,-135
146,30,34,-135
-146,30,38,-135
146,-30,42,-135
-146,-30,46,-135
106,105,50,-135
106,-105,54,-135
-106,-105,58,-135
-106,105,62,-135
